author,date,verified_purchase,stars,comment,agg_rating,topic,title
noomantis,18/01/2025,True,5,"Σε καλή κατάσταση και άψογο. Γρήγορο, καλή αυτονομία, σωστές ιντσες για την χρήση που το θέλω και άμεση παράδοση. Ευχαριστώ!","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
ekounadis15,21/11/2024,True,5,Το αγορασα για την κορη μου που ειναι φοιτητρια . H μπαταρια του κραταει αρκετα ωστε να το παιρνει μαζι της . Θα ηθελα να ειχε και hdmi αλλα την δουλεια του την κανει μια χαρα .Value for money .,,,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
geopet1994,24/05/2024,False,5,"Εξαιρετικό, ελαφρύ, σε άριστη κατάσταση χωρίς φθορές. Το έχω μερικούς μήνες στην κατοχή μου και είμαι απόλυτα ικανοποιημένος. Οι επιδόσεις του πάρα πολύ καλές (πρόσθεσα επιπλέον 8 ram μνήμη).","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Antonis Papettas,15/10/2023,True,5,Ειναι εξερετηκό laptop!!!,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Keith_Lawley,11/02/2025,True,4,"some screen damage but not visible when in use.
 slow to load pages considering specifications.
 case has obvious signs of use which was expected.","{'pros': ['Πληκτρολόγιο', 'Touchpad'], 'so-so': ['Οθόνη', 'Διάρκεια μπαταρίας', 'Βάρος', 'Σχέση ποιότητας τιμής'], 'cons': ['Ταχύτητα']}",,"Lenovo T470 Refurbished Grade A 14"" (Core i5-6300U/8GB/256GB SSD/W10 Pro)"
babis.tsoulellis,18/03/2025,True,4,,,,"Lenovo T470 Refurbished Grade A 14"" (Core i5-6300U/8GB/256GB SSD/W10 Pro)"
Webart_3d,06/09/2023,True,5,το παρέλαβα σήμερα πολύ ικανοποιημένος μέχρι στιγμής. είμαι προγραμματιστής και μέχρι στιγμής κάνω ότι θα έκανα και στον σταθερό πολύ άνετα. αρκετά γρήγορος χωρίς σημάδια χρήσης πραγματικά σαν καινούργιο,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
tania.kontidi,01/05/2023,True,5,Value for money. Ελαφρύ γρήγορο και εντυπωσιακά αρίστη εμφάνιση χωρις φθορές. Επιδόσεις πάρα πολύ καλές.,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Elefthfred,20/04/2023,True,5,"Χωρίς σημάδια χρήσης. Φαίνεται άψογο εξωτερικά,ελαφρύ και πολύ γρήγορο. Σε αυτο το εύρος τιμής νομίζω δεν υπάρχει ανταγωνισμός.","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Konstantinos_Sarigiannidis,19/04/2023,True,5,πολυ γρηγορο !  πανεμορφο ! καλη κατασκευη !,"{'pros': ['Οθόνη', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Asterios_Komsoulas,18/04/2023,False,5,"Το έχω 1 μήνα ειναι ελαφρύ το παίρνω μαζί μου, αρκετά γρήγορο στις λειτουργίες και ειμαι ευχαριστημένος από την αγορά μου με τα χρήματα που έδωσα!","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
diana_sve,25/03/2025,True,5,,,,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
pkak_,04/03/2025,True,5,,,,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
siforp,13/02/2025,True,5,,,,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
sid80,13/12/2024,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Longinos Lyropoulos,16/01/2024,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Dimitris_Papadimitriou28,28/11/2023,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
iraklisavr,08/10/2023,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
sammpo,01/08/2023,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
sofia_z26,10/03/2025,True,5,,,,"Apple Macbook Pro A1278 Refurbished Grade A 13.3"" (Core i5-3210/4GB/240GB SSD)"
anfotaki,11/03/2025,True,5,σε πολύ καλη κατασταση,,,"Lenovo ThinkPad X13 G1 Refurbished Grade A 13"" (Ryzen 3 Pro/8GB/256GB SSD/W10 Pro)"
noomantis,18/01/2025,True,5,"Σε καλή κατάσταση και άψογο. Γρήγορο, καλή αυτονομία, σωστές ιντσες για την χρήση που το θέλω και άμεση παράδοση. Ευχαριστώ!","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
ekounadis15,21/11/2024,True,5,Το αγορασα για την κορη μου που ειναι φοιτητρια . H μπαταρια του κραταει αρκετα ωστε να το παιρνει μαζι της . Θα ηθελα να ειχε και hdmi αλλα την δουλεια του την κανει μια χαρα .Value for money .,,,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
geopet1994,24/05/2024,False,5,"Εξαιρετικό, ελαφρύ, σε άριστη κατάσταση χωρίς φθορές. Το έχω μερικούς μήνες στην κατοχή μου και είμαι απόλυτα ικανοποιημένος. Οι επιδόσεις του πάρα πολύ καλές (πρόσθεσα επιπλέον 8 ram μνήμη).","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Antonis Papettas,15/10/2023,True,5,Ειναι εξερετηκό laptop!!!,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
anfotaki,11/03/2025,True,5,σε πολύ καλη κατασταση,,,"Lenovo ThinkPad X13 G1 Refurbished Grade A 13"" (Ryzen 3 Pro/8GB/256GB SSD/W10 Pro)"
dennis_tsiaparis,16/12/2024,True,4,,,,"Dell Latitude 5570 Refurbished Grade A 15.6"" (Core i5-6300U/16GB/500GB SSD/W10 Pro)"
thanosorl,16/03/2025,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"Dell Latitude E7480 Refurbished Grade A 14"" (Core i5-6300U/8GB/256GB SSD/W11 Pro)"
npouzbouris,22/10/2024,True,5,,"{'pros': ['Οθόνη', 'Βάρος'], 'so-so': ['Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Σχέση ποιότητας τιμής'], 'cons': ['Διάρκεια μπαταρίας']}",,"Apple MacBook Air A1465 Refurbished Grade A 11"" (Core i5-4260u/4GB/128GB Flash Storage)"
Webart_3d,06/09/2023,True,5,το παρέλαβα σήμερα πολύ ικανοποιημένος μέχρι στιγμής. είμαι προγραμματιστής και μέχρι στιγμής κάνω ότι θα έκανα και στον σταθερό πολύ άνετα. αρκετά γρήγορος χωρίς σημάδια χρήσης πραγματικά σαν καινούργιο,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
tania.kontidi,01/05/2023,True,5,Value for money. Ελαφρύ γρήγορο και εντυπωσιακά αρίστη εμφάνιση χωρις φθορές. Επιδόσεις πάρα πολύ καλές.,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Elefthfred,20/04/2023,True,5,"Χωρίς σημάδια χρήσης. Φαίνεται άψογο εξωτερικά,ελαφρύ και πολύ γρήγορο. Σε αυτο το εύρος τιμής νομίζω δεν υπάρχει ανταγωνισμός.","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Konstantinos_Sarigiannidis,19/04/2023,True,5,πολυ γρηγορο !  πανεμορφο ! καλη κατασκευη !,"{'pros': ['Οθόνη', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Asterios_Komsoulas,18/04/2023,False,5,"Το έχω 1 μήνα ειναι ελαφρύ το παίρνω μαζί μου, αρκετά γρήγορο στις λειτουργίες και ειμαι ευχαριστημένος από την αγορά μου με τα χρήματα που έδωσα!","{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
diana_sve,25/03/2025,True,5,,,,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
DESPOINA_MYLONA,17/10/2023,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': ['Βάρος'], 'cons': []}",,"Dell Latitude E5570 Refurbished Grade A 15.6"" (Core i5-6200U/8GB/240GB SSD/W10 Pro)"
valantis1926,19/04/2023,True,5,Το πήρα αποκλειστικά για την σχολή και με έχει βγάλει ασπροπρόσωπο. Με αυτά τα χρήματα δεν έβρισκα κάτι καλύτερο και ειδικά στις 15'' για να βλέπω και καμιά σειρά το βράδυ. Πολύ γρήγορο ακόμα και όταν τρέχει software που χρειάζεται αρκετούς πόρους. Αρκετά λεπτό αφού το κουβαλάω μαζί μου κάθε ημέρα στην σχολή και χωρίς κάποια σημάδια που να δείχνουν ότι είναι ανακατασκευασμένο.,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"Dell Latitude 3580 Refurbished Grade A 15.6"" (Core i5-6200U/8GB/128GB SSD/W10 Home)"
Sultana_Vafeiadou_Vafeiadou,30/12/2024,True,5,,,,"Dell Latitude E5440 Refurbished Grade A 14"" (Core i3-4010U/8GB/240GB SSD/W10 Pro)"
pkak_,04/03/2025,True,5,,,,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
siforp,13/02/2025,True,5,,,,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
sid80,13/12/2024,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Longinos Lyropoulos,16/01/2024,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
Popi_P8193,04/02/2025,True,5,"Το έχω ένα μήνα τώρα, κυρίως για οικιακή και απλή επαγγελματική χρήση (word, excel, internet) και είμαι απόλυτα ικανοποιημένη. Το χρησιμοποίησα και στο φροντιστήριο με διαδραστικό υλικό και σύνδεση με μαθητές μέσω zoom και το μηχάνημα ανταποκρίθηκε πολύ καλά ενώ με καινούργιο laptop, με μικρότερη μνήμη βέβαια, δυσκολευόταν και έκανε διακοπές στην σύνδεση.
 Πολύ καλό μηχάνημα σε πολύ καλή τιμή. Τώρα, για gaming, δεν ξέρω.",,,"Lenovo Thinkpad T470 Refurbished Grade A 14.1"" (Core i5-7200u/16GB/500GB SSD/No OS)"
Stratos_Douas,06/04/2023,False,5,,"{'pros': ['Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Βάρος', 'Σχέση ποιότητας τιμής'], 'so-so': ['Οθόνη', 'Διάρκεια μπαταρίας', 'Θερμοκρασία'], 'cons': []}",,"HP EliteBook 840 G3 Refurbished Grade A 14"" (Core i5-6300U/8GB/256GB SSD/W10 Pro)"
Dimitris_Papadimitriou28,28/11/2023,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
iraklisavr,08/10/2023,True,5,,"{'pros': ['Οθόνη', 'Ταχύτητα', 'Πληκτρολόγιο', 'Touchpad', 'Διάρκεια μπαταρίας', 'Βάρος', 'Θερμοκρασία', 'Σχέση ποιότητας τιμής'], 'so-so': [], 'cons': []}",,"HP 840 G3 Refurbished Grade A 14"" (Core i5-6200/8GB/240GB SSD/W10 Home)"
