step,epoch,loss,f1,loss,precision,recall
50,0.19455252918287938,0.8126,,0.8126,,
100,0.38910505836575876,0.15859992802143097,0.0,0.15859992802143097,1.0,0.0
150,0.5836575875486382,0.135,,0.135,,
200,0.7782101167315175,0.14018575847148895,0.0,0.14018575847148895,1.0,0.0
250,0.9727626459143969,0.1263,,0.1263,,
300,1.1673151750972763,0.13266733288764954,0.0,0.13266733288764954,1.0,0.0
350,1.3618677042801557,0.113,,0.113,,
400,1.556420233463035,0.12737983465194702,0.0,0.12737983465194702,0.0,0.0
450,1.7509727626459144,0.1147,,0.1147,,
500,1.9455252918287937,0.11932285875082016,0.0,0.11932285875082016,1.0,0.0
550,2.140077821011673,0.1021,,0.1021,,
600,2.3346303501945527,0.12161712348461151,0.09972677595628415,0.12161712348461151,0.3613861386138614,0.05784469096671949
650,2.529182879377432,0.1072,,0.1072,,
700,2.7237354085603114,0.107009656727314,0.04573170731707318,0.107009656727314,0.6,0.02377179080824089
750,2.9182879377431905,0.0957,,0.0957,,
800,3.11284046692607,0.10325676202774048,0.07228915662650602,0.10325676202774048,0.7272727272727273,0.03803486529318542
850,3.307392996108949,0.0876,,0.0876,,
900,3.501945525291829,0.10059775412082672,0.21137206427688504,0.10059775412082672,0.4803370786516854,0.13549920760697307
950,3.6964980544747084,0.0899,,0.0899,,
1000,3.8910505836575875,0.09201894700527191,0.2028018679119413,0.09201894700527191,0.6413502109704642,0.12044374009508717
1050,4.085603112840467,0.0758,,0.0758,,
1100,4.280155642023346,0.08784215897321701,0.25339366515837103,0.08784215897321701,0.6877192982456141,0.15530903328050713
1150,4.474708171206226,0.0702,,0.0702,,
1200,4.669260700389105,0.08485393971204758,0.4447821681864235,0.08485393971204758,0.6165730337078652,0.3478605388272583
1250,4.863813229571985,0.0751,,0.0751,,
1300,5.058365758754864,0.07681222259998322,0.46194784459819055,0.07681222259998322,0.7034035656401945,0.3438985736925515
1350,5.252918287937743,0.0549,,0.0549,,
1400,5.447470817120623,0.07023048400878906,0.541622760800843,0.07023048400878906,0.8081761006289309,0.40729001584786056
1450,5.642023346303502,0.0598,,0.0598,,
1500,5.836575875486381,0.06121459975838661,0.6213503649635037,0.06121459975838661,0.7322580645161291,0.5396196513470681
1550,6.031128404669261,0.0465,,0.0465,,
1600,6.22568093385214,0.06415397673845291,0.6387208297320657,0.06415397673845291,0.7024714828897338,0.5855784469096672
1650,6.42023346303502,0.0419,,0.0419,,
1700,6.614785992217898,0.05762031301856041,0.6564195298372513,0.05762031301856041,0.7642105263157895,0.5752773375594294
1750,6.809338521400778,0.0406,,0.0406,,
1800,7.003891050583658,0.05540284886956215,0.6879933527212297,0.05540284886956215,0.7231441048034934,0.6561014263074485
1850,7.198443579766537,0.0306,,0.0306,,
1900,7.392996108949417,0.05728330835700035,0.7059333044608056,0.05728330835700035,0.778414517669532,0.6458003169572107
1950,7.587548638132295,0.0308,,0.0308,,
2000,7.782101167315175,0.05747741460800171,0.7308998302207131,0.05747741460800171,0.7870201096892139,0.6822503961965135
2050,7.976653696498055,0.0291,,0.0291,,
2100,8.171206225680933,0.052704498171806335,0.7420189818809318,0.052704498171806335,0.8143939393939394,0.6814580031695721
2150,8.365758754863814,0.0225,,0.0225,,
2200,8.560311284046692,0.05259018763899803,0.7637931034482759,0.05259018763899803,0.8374291115311909,0.7020602218700476
2250,8.754863813229573,0.0265,,0.0265,,
2300,8.949416342412452,0.05177251249551773,0.7692307692307693,0.05177251249551773,0.8242753623188406,0.7210776545166403
2350,9.14396887159533,0.0216,,0.0216,,
2400,9.33852140077821,0.05192345380783081,0.7794179671024885,0.05192345380783081,0.8331830477908025,0.7321711568938193
2450,9.53307392996109,0.0204,,0.0204,,
2500,9.727626459143968,0.050939884036779404,0.7627603103307472,0.050939884036779404,0.7868576242628476,0.7400950871632329
2550,9.922178988326849,0.0226,,0.0226,,
2600,10.116731517509727,0.05143796280026436,0.7584291947639825,0.05143796280026436,0.7593328038125496,0.757527733755943
2650,10.311284046692608,0.0167,,0.0167,,
2700,10.505836575875486,0.054971612989902496,0.7607410327158061,0.054971612989902496,0.7568627450980392,0.7646592709984152
2750,10.700389105058365,0.0175,,0.0175,,
2800,10.894941634241246,0.048748645931482315,0.8042763157894737,0.048748645931482315,0.8358974358974359,0.7749603803486529
2850,11.089494163424124,0.0153,,0.0153,,
2900,11.284046692607005,0.057467762380838394,0.7972027972027972,0.057467762380838394,0.8289136013686912,0.7678288431061807
2950,11.478599221789883,0.0143,,0.0143,,
3000,11.673151750972762,0.0527370348572731,0.7898754519887505,0.0527370348572731,0.8011409942950285,0.7789223454833597
3050,11.867704280155642,0.0118,,0.0118,,
