step,epoch,loss,f1,loss,precision,recall
50,0.8333333333333334,1.0324,,1.0324,,
100,1.6666666666666665,0.7208744883537292,0.013513513513513514,0.7208744883537292,0.008928571428571428,0.027777777777777776
150,2.5,0.7228,,0.7228,,
200,3.3333333333333335,0.6508510708808899,0.018274111675126905,0.6508510708808899,0.01291248206599713,0.03125
250,4.166666666666667,0.6312,,0.6312,,
300,5.0,0.5691867470741272,0.04438964241676942,0.5691867470741272,0.03441682600382409,0.0625
350,5.833333333333333,0.5527,,0.5527,,
400,6.666666666666667,0.5414417386054993,0.10761705101327741,0.5414417386054993,0.09005847953216374,0.13368055555555555
450,7.5,0.4942,,0.4942,,
500,8.333333333333334,0.5564886927604675,0.15322580645161288,0.5564886927604675,0.1430722891566265,0.16493055555555555
550,9.166666666666666,0.4576,,0.4576,,
600,10.0,0.562813937664032,0.18855218855218855,0.562813937664032,0.1830065359477124,0.19444444444444445
650,10.833333333333334,0.4386,,0.4386,,
700,11.666666666666666,0.5791090726852417,0.22572178477690288,0.5791090726852417,0.2275132275132275,0.22395833333333334
750,12.5,0.4192,,0.4192,,
800,13.333333333333334,0.5880728960037231,0.2559241706161138,0.5880728960037231,0.2818371607515658,0.234375
850,14.166666666666666,0.4223,,0.4223,,
900,15.0,0.6099541783332825,0.26181818181818184,0.6099541783332825,0.2748091603053435,0.25
950,15.833333333333334,0.4212,,0.4212,,
1000,16.666666666666668,0.6248437166213989,0.28066732090284596,0.6248437166213989,0.3227990970654628,0.2482638888888889
1050,17.5,0.4273,,0.4273,,
1100,18.333333333333332,0.6448088884353638,0.3218623481781377,0.6448088884353638,0.3859223300970874,0.2760416666666667
1150,19.166666666666668,0.4165,,0.4165,,
1200,20.0,0.6322015523910522,0.3106212424849699,0.6322015523910522,0.36729857819905215,0.2690972222222222
