step,epoch,loss,accuracy,loss,macro_f1,macro_precision,macro_recall,neg_f1,neu_f1,pos_f1
50,0.05370569280343716,0.3749,,0.3749,,,,,,
100,0.10741138560687433,0.21655839681625366,0.8377110694183865,0.21655839681625366,0.3038965458567296,0.9459036898061287,0.3333333333333333,0.0,0.0,0.9116896375701888
150,0.1611170784103115,0.2187,,0.2187,,,,,,
200,0.21482277121374865,0.19685347378253937,0.8380237648530331,0.19685347378253937,0.30562752525036024,0.9459910332603482,0.3341750841750842,0.0,0.005037783375314861,0.9118447923757659
250,0.26852846401718583,0.2132,,0.2132,,,,,,
300,0.322234156820623,0.2086862176656723,0.8445903689806129,0.2086862176656723,0.40411565419056467,0.8148101398969181,0.3895010796794316,0.2676056338028169,0.029556650246305417,0.9151846785225718
350,0.37593984962406013,0.1671,,0.1671,,,,,,
400,0.4296455424274973,0.15906691551208496,0.8527204502814258,0.15906691551208496,0.5268966463570592,0.7859251212500276,0.478247868942431,0.2916666666666667,0.36589147286821705,0.9231317995362939
450,0.4833512352309345,0.1914,,0.1914,,,,,,
500,0.5370569280343717,0.1671544760465622,0.8567854909318324,0.1671544760465622,0.5414543297778881,0.7931037375508909,0.48490281137838015,0.348993288590604,0.3502454991816694,0.9251242015613911
550,0.5907626208378088,0.173,,0.173,,,,,,
600,0.644468313641246,0.1760372668504715,0.8520950594121326,0.1760372668504715,0.558951765139032,0.784788450455023,0.5064245087460885,0.36,0.39477503628447025,0.9220802591326255
650,0.6981740064446831,0.1829,,0.1829,,,,,,
700,0.7518796992481203,0.17073315382003784,0.8530331457160726,0.17073315382003784,0.48715136539416254,0.7546148401592384,0.46193834575693477,0.43157894736842106,0.10823529411764705,0.9216398546964193
750,0.8055853920515574,0.1698,,0.1698,,,,,,
800,0.8592910848549946,0.14659155905246735,0.8583489681050657,0.14659155905246735,0.5442806307923116,0.6994660279677295,0.5145823855503477,0.45454545454545453,0.25311203319502074,0.9251844046364595
850,0.9129967776584318,0.1847,,0.1847,,,,,,
900,0.966702470461869,0.15198303759098053,0.8524077548467792,0.15198303759098053,0.5834938130099813,0.6210898216138558,0.6003640912075076,0.41975308641975306,0.40476190476190477,0.925966447848286
950,1.0204081632653061,0.1577,,0.1577,,,,,,
1000,1.0741138560687433,0.15016034245491028,0.857098186366479,0.15016034245491028,0.5597769403282832,0.6480817750940283,0.5772739595630373,0.445859872611465,0.3025540275049116,0.930916920868473
1050,1.1278195488721805,0.1483,,0.1483,,,,,,
1100,1.1815252416756177,0.1543751209974289,0.8686679174484052,0.1543751209974289,0.5773079450946891,0.7426733623806894,0.5182224929582425,0.4406779661016949,0.3590664272890485,0.9321794418933239
1150,1.2352309344790549,0.1492,,0.1492,,,,,,
1200,1.2889366272824918,0.13315951824188232,0.8664790494058787,0.13315951824188232,0.5929200780016449,0.6838630355116453,0.5906317796083727,0.5481481481481482,0.296875,0.9337370858567866
1250,1.342642320085929,0.1494,,0.1494,,,,,,
1300,1.3963480128893662,0.16239656507968903,0.8533458411507192,0.16239656507968903,0.5064752026325113,0.7449541930045385,0.5305893078951828,0.5263157894736842,0.06796116504854369,0.925148653375306
1350,1.4500537056928033,0.1377,,0.1377,,,,,,
1400,1.5037593984962405,0.13406720757484436,0.8664790494058787,0.13406720757484436,0.6093151955249684,0.7175130317866483,0.5577039939356603,0.5151515151515151,0.38305084745762713,0.9297432239657631
1450,1.5574650912996777,0.1386,,0.1386,,,,,,
